county fair	second place ribbon	in an empty stall
crossing the bright sky	of a near-sighted swimmer,	the song of a bird
and yet	perishable is flesh	a mountain plum
what thing cries out	deep inside us	cooking the turtle?
lights out	...the firefly	inside
the wind	somewhere else	bird tracks in a light snow
apples cooking:	in the aroma	pictures of my mother canning
dawn	another parting	with the moon
back and forth goldfish hot & humid afternoon
the child	points at the moon	and says, "bird"
one seagull	on a shaft of air;	dawn
lean man	carving	the tree's dream.
morning-glory folds into herself into her folds
from behind me	the shadow of the ticket-taker	comes down the aisle
walking to work		pages lap at your feet	the quick eye holds up the news to the day
part of a dog	walking by upside down	in the roadside puddle
where the ripple was	the fisherman casts his line;	another ripple
quiet strokes	of night swimmer: the slap	of beaver tails...
never expecting	the lilies in november	nor the small coffin
the room's smallness	fills with light	this morning of snow
the way of the conch	blueing in the sea, and	echoing in the wind
leaving    all the morning glories    closed
old frog	up to his ears	in moonlight
reaching into sky	the girl breaks the wish	bone of geese
in a dark bag	onions	sprouting
still lake	a hawk makes off	with its image
skiers!	standing	on the wind
pregnancy	shape of the dark side	of the crescent moon
spring sky	a seagull enters	our selfie
evening lull	a seaside cave exhaling	butterflies
first glimpse	of her mastectomy bra	winter rose
silence	leaves are falling	all by themselves
the snow-spinning wind	i dream of only big trees	in my prison yard
after the sunset	a white chrysanthemum	lights quite alone
summer night	a worm bites through the silence	in a fallen acorn
the shadow of the fish	hides	in the shadow of a leaf
shining	in a drop of dew	all his love
waiting	in the sheaths of ice	blades of grass
places i'll never see	the backlit wings	of migrating geese
reflection	in this oyster shell	pearl moon
spring shower	a peacock sips pinkness	from the bromliad
mouth of the river	i dream with my cousin	boat to boat
empty jam jar	the tadpoles	in the u-bend
no clouds	a wind in the sheoaks	shuffles bits of blue
loon call     the stillness of the lake
flashes of lightning	across the pasture --	sheared sheep
half light	not knowing what today	will bring
winter commute	the face of a missing child	exits
over the eggs	they laid too soon	late falling snow
sun's out	a drop on the lily pad	changes to green
the faint melody	of a carousel	swirling leaves
winter's end	fence wire ripples	in the wake of a coot
sacred ground	red geraniums	where they fell
winter garden	my father's swing seat	still creaking
dawn grey	the scratch of a claw	from the sleeping dog
on the pine	a feather stiff with sleet	ice moon
dusk shadows	a peacock's cry	across the paddocks
spring birdsong	a common cuckoo	barges in
gale-force wind	a bird's nest becomes	what it was
wind in tamaracks	whispering to shadows,	shadows
drawing the geese	from the stubble fields	the pink-tinged sky
funeral march	the crunch crunch crunch	of cicada husks
on the piano	photos of the ones	who don't visit
april showers	my inside-out umbrella	drowns a snail
november dusk	a cloud of sparrows rounds	the weathered silo
end of summer	the busker's trouser cuffs	collect burs
twilight	the late swallow passes	the first bat
stone steps	an electric ant takes	the handrail
spring equinox	chaise lounge claimed	by the swollen river
turning tide	the buoy bobs	sideways
the windfalls	he gathered	gathering dusk
november rain	the fence	around the ruin
early dusk	the elderly sexton	wreathed in mist
storm on the lough	streetlamps on seaview	lit by sunrise
laid at the feet	of a cat,	all the alps
first snow...	filling the emptiness	of a curled leaf
equinox	again you speak	of leaving
wild persimmon	autumn sun fills	the last leaf
island morning fog	the spruce tree and wooden bench	web-conected
chill wind	the windowsill tomato	still warm
new year's snow	the tracks of creatures	that went by in the night
mountain sunset	an eagle rides	the downslope wind
crossroads	the wind takes my hair	the other way
new moon	the night watchman	goes unseen
in the chair	the cat curls up	in my warmth
where the maple stood	a shroud	of sunlight
the things	we never did	undertow
winter solstice	the barbed wire fence	furry with frost
year end	a boat accompanies	the river to the sea
november sunset	a galaxy of crows	quench the twilight
receding surf...	for every clamshell	a sandy wake
some in, some out	of the ebbing tide...	the morning oystercatchers
september wind	a better view	of compost bins
stooping on the edge	of autumn	purple river grass
country fair	cornsilk at the feet	of the hucksters
spring equinox	two pines leaning	into each other
end of a stalk	the caterpillar climbs	a ladder of air
sun fringed clouds	a carrion crow struts	from sleeper to sleeper
horses stand in morning frost	one apart stares	at the space between
mountain stillness	an empty chrysalis	fills with sunlight
summer morning	every other post	has its crow
early frost	the fragrance of pine	on fire
cold rain...	the fishermen wade deeper	into the lake
winter chill	a bull ant climbs	the flame tree
autumn breeze	spider's web	convex... concave
the open gate	to an empty field	country graveyard
christmas eve	swaddled in the busker's case	a fiddle
full flower moon	a soft-shelled crab	emerges from itself
dry season	each cowherd's song	to the well
birdsong before dawn	all the lives	i've lived
moonflower	the baby's hand	closes around air
freezing rain	beading	on the blackbird's back
hot wind	a pine cone waddles	to the pond
morning after	all my empties	full of sun
milky way	the light from one farm	stretches down the valley
new moon	changing the photo	inside her heart locket
asylum window	a woman scrapes	the ice flowers
so cold	those winter stars	so close
something adrift	beyond the break	gibbous moon
snowdrop stems	a little longer today	the warming sun
this long drought	tumbleweeds	still tumbling
stacking stones	for a garden wall	the weight of their age
one by one	summer raindrops	darken the pavement
summer rain	each corner drips	to its own tempo
her texted outrage	sent	with a well placed tap
reincarnation lecture	i could see her dress	in a quilt
her fingers move	as if counting...	dusk light
spring equinox	the clack	of marbles
closing day	vine tomatoes	warm my hands
answering a question	with a question	hermit thrush
new carnival	the fortune teller	asks the way
lake trout rising	to fire flies	among the stars
circle of leaves	the dog finally catches	his tail
a black split	down the boulder's center	...end of winter
abandoned trailer lot	first snow	covers the television set
an ocean	between us	ripe mulberries again
yard sale	the empty fishbowl	still wet
cloud light	the cows turned out	in the harvested field
evening snow	the dark turns	lighter
the youngest	so far from home	evening star
bulldozer	a yellow caterpillar	in its tracks
receding thunder...	one bullfrog	then another
daybreak	between mist and pond	a loon's wake
autumn rain	on the headstone	his name darkens
spider silk	broken starlight	between pines
christmas hymns	the lady beside him	robustly tone deaf
crack of thunder	a vee of geese	breaks
sweet pea vines	the skilled hands	of my wife
plum blossoms falling...	her fingers lift	from the braille
crescent moon...	a horseshoe crab	returns to the sea
mom's old farm	the gentle curve	of the earth
airing the house	i hear the men far away	tilling fields
sweltering heat	a black and yellow field spider	bundles a grasshopper
deserted church	the yew's shadow moves	in a pew
another spring	his bottle of after shave	still on the shelf
wood's edge	stepping inside	the sound of the river
rising sun	the sunflowers'	dark heads
youngest daughter	passing through	the willow shoots
vernal pool	the hardy lily cradles	a young sun
birdsong	a shovel leans	in the snow
smoker's lounge	everyone leaves behind	a bit of ash
lifting fog	the cormorant	on his rock
sunlit steps	a church elder prods	the sleeping dog
midday heat	milk cows chew their cuds	under the oak trees
morning moon	the soap bar floating	just barely there
day moon	the girls next door	spin hula hoops
the surrounding city...	slate headstones tilted	every which way
overgrown thicket	the intersection	of old stone walls
first spring day	the same little nest	of faded twigs
a wave	passing waves	full moon
chasing pigeons	a little girl releases	her father's hand
the stone cutter's yard	polished granite blocks reflect	a blossoming peach
the pallbearers	last year's acorns	crunch underfoot
mountain rain	the rising magpie's	bloodied bill
killing frost	all day a steady rain	of yellow leaves
divorce day	no more staples	in our gun
metal roof	the alternating feet	of a magpie
summer's end...	a float and line dangle	from the pine
sudden shower	the steel underbelly	of a bridge
winter sunset	their argument's	long shadows
road work	three crows study	a pavement reflector
blowing through the holes	of the nomad's flute	autumn wind
missing face	of the snowman	pleiades
back-to-back blizzards	under one of those mounds	a stone buddha
the colour	of the hill	pioneer graves
snow-viewing	with a stranger	the silence between us
old cat	catching birds	with her eyes
early autumn	under the old pear tree	scent of brandy
spring cleaning	just ahead of the broom	a long legged spider
lavender stalk	the weight of one	butterfly
adrift	in an old rowboat	i follow the moon
stillness	one cicada	across the lake
a pale moth	clings to the screen	september rain
old cemetary	the broken iron gate	never closed
a solitary walk	among stubbled fields	the first star
always a few steps	ahead of me	grasshopper
groundhog day	six more springs until	my social security
after the rain	each leaf has caught	a bit of sky
my closet	it keeps so many	of my single socks
falling asleep	the rythmn of her breath	on my forearm
sunlit clouds	snow in every crack	of stone buddha
morning fog	joining our gardens	the scent of lavender
winter stars	a faint snore	from the bedroom
raindrops	on the leaves of sunflower	po-tan, po-tan
pleasantly drunk...	fireflies come out	of the moon
study window	still missing the green spider	that lived in it
fluttering	in the spider's web	a butterfly wing
left out overnight	the child's cup filled up	with snow
in the shoebox	photos	from a different life
neighbour's cat	the cicada in its teeth	keeps singing
quiet pier	the milky way spills	into the sea
shorter days	the wind carries	butterflies
morning fog	the muffled sound	of the train
late autumn	a tea leaf in my cup	opens up
only a junco's wing	this small snow-blizzard	from the lilac
moment of rest	wind	and scarecrow
morning sun	the first	red maple
early thaw	last year's potatoes	sprout in the hutch
winter evening	the house cat sinks its teeth	deeper into me
carrying the harvest	rhythm	of her hips
a buzzing bumble bee	dandelion fluff covers	the ripe blackberry
frigid night	a drip in the sink	fills the whole house
cool morning	a caterpillar asleep	under buddha's ear
lakeside	the irises find their color	at dusk
traveling exhibit	a spider in	the bonsai tree
lovers looking up	not kissing	spring moon
house for sale	the pear tree in blossom	we make an offer
harvest moon	the horizon between here	and hereafter
heart failure	folding the sails	before nightfall
november darkness	only the tick	of the engine cooling
morning sun	a lone crow scatters	frost from the pine
noon	a quiet bell	reflects the sun
her new wig	the fir trees	shed their snow
enamelled top	my son's smile spins	around the floor
sun-dried grasses	quietly, the sparrows	whirr as i pass
almost dawn	a heron fluffs the stillness	into itself
bushfire smoke...	yachts on the lagoon	have no masts
heavy surf	too many moons	to count
carrying sunlight	the wings	of a dragonfly
a calf born today	lies still	as a burlap bag
collecting...	for the dead miners	wild violets
aftershock	across the tiles	peppercorns roll
a moment before sunrise	ice singing	beneath the swans' feet
3 a.m.	the obverhead fan	clicks clicks clicks
he leaves in an ambulance	the chrysanthmum buds	closed tight
a field in bloom	the foal's tracks	follow the mare's
his father's death...	shadows of raindrops	on the window ledge
fallen leaf	the stream carrying	another silence
liquidambar	already my toddler's hair	darkening
full moon at motuhoa	stingrays	cloud the evening tide
soft mist...	a mother cups	her baby's head
half light	the river scarred	by a heron
summer flood	my father wades	through the stars
moonlight	the stream flows from shadow	to shadow
day moon	hoof prints litter	the beach track
putting on	her faded levi's	the undertaker
weather change	the first child	meets her sister
leaving your home	kowhai flowers	flick off my windscreen
twilight	a tui mimics	a tui
friend's funeral	a stranger uses	her teapot
low tide	exploring the rock pools	a green plastic fish
bring 'n buy	my wife swaps	life stories
arriving home	on census night	so many stars
conversion	the sun	falls between goalposts
one toheroa	over the limit	low winter moon
beside the	'high fire risk' sign	a blaze of montbretias
sleeping horse	angled bones lean	into the summer sun
alcatraz manacles of kelp
quince blossoms	he stops	the chemo
alone now	no ruby slippers	to take me home
thousands of feet of darkness above us sleeping swifts
lullaby	meteorites flash	beneath heavy lids
tall grass a hand drowning in snow waves
midsummer	under a leaf	hidden from
alphabet soup	i practice cradling love	in a stainless spoon
sauteed fiddleheads	dinner begins	with grace
overnight the spider's mathematics
nightfall	no decision	required
nautical chart	i touch the depth	of my mother's ashes
slave quarters...	the shapes of their shadows	in this dust
shades of blue...	the deer's remaining eye	cradled by bone
winter dusk	my grief released	from the crow's throat
formation of geese	a log opens	to the woodsman's maul
i seem to be	an intermittent shadow...	summer clouds
bitter wind	the towhee's song	three notes short
falling leaves	the clang of horseshoes	in the crisp air
spattering rain the pulse in a sparrow's throat
weathered rail	all those carved names	through my hand
mice	beneath the floorboards...	all her small noises
daybreak	the scent of crushed sweetgrass	where deer have lain
the timbre	of a horse's heart	winter sea
trying to name	the color of the sun	yellow peony
mayflies	an unfinished painting	on the easel
opening the door	to an unexpected knock	the fragrance of plum
a box turtle	slowly unpacks its legs	first warm day
so few feathers left	it barely has a name	the melting snow
caravaggios	a passing cloud darkens	the skylit room
autumn wind	he wills his body	to science
drive-in movie	the car surrounded	by fireflies
woodsmoke	the last long weekend	of the summer
spring floods	i move the sink spider	to a safer spot
adult walk	a skip	in the child's step
a sudden tinkling	of the wind bell	winter stars
a redstone church	still echoing its angelus,	the red stone hills
square little windows	the laughter of women	at work inside
near sunbathers	driftwood	nearly bleached
her therapy	the basket	unwoven
man in the moon	a newsman reports	a beheading
letting go	the heart	of a sparrow
cog railway	white sky	becomes snowflakes
daffodils	a laughing girl	with rain in her shoe
wide open	the roses we leave	on the motel dresser
lantern shadows	two-teat harmony	in the milk pail
sparse shadow	of the plum tree	the pull of an old friend
hot night	at the filling station	songs of love
shop window	winter light along	the violin strings
childhood home	i park in the shade	of my cherry stone
the school bell rings...	the wings of a butterfly tremble	on the pin
followed home	by a dog i don't know	autumn dusk
blizzard day	extra brown sugar	on my oatmeal
in the gutter	a crumpled scratch card	ragweed in bloom
gathering dusk	fragments of sky between limbs	become one
solar eclipse	the rare silence	of seagulls
family secrets	a thicket full	of ripe raspberries
plum blossoms	i make plans	for my ashes
the piano hammers	barely moving...	night snow
dusklight	i read her poem	differently
first snow	my child's footprints no longer	fit inside of mine
late winter...	a king snake stretches	across the road
evening news	the soothing weight	of the quilt
snow flurries	the square dancers	do-si-do
sunglints	off falling snow	the silent no in her smile
wild berries	one training wheel lifts	round the curve
winter light	she holds the teacup	with both hands
orion rising	she reaches to loosen	the pup's collar
spring stars	washing my daughter's lipstick	off the mirror
still arguing	we swim the same river	further upstream
winter rain	finding that part of silence	which speaks to me
autumn woods	yesterday's walking stick	just where i left it
late for work	one empty space	petaled in wisteria
frozen eyes	of the just netted fish	winter rainbow
the foul ball lands	in an empty seat	summer's end
rainy day...	a crow on the bare branch	sharpens his beak
hide and seek	among the hollyhocks	august moon
winter solitude	the lima beans soaking	in half-moonlight
first light	dark limbs of the walnut	holding their snow
rumors of war	up into a darkening sky	a child's newsprint kite
summer meadow	a blade of grass	becomes a whistle
deep night...	a moth stirs	the windchime
steady snowfall...	i make hot chocolate	grandmother's way
quiet night	the watchman bends	to touch a rose
gentle rain	a shimmer of pennies	beneath the koi
tree-lined stream	the falcon rowing	through air
holding the warmth	of the afternoon sun	dandelion ridge
simmering rhubarb	mother plays ragtime	on broken keys
moonrise	a flow of shadows	along the river
bare hills	the horizon looped	between post and wire
spilling	from the sound of thunder	a raindrop
dipped oar	phosphorescence	trails the moon
summer storm	the windscreen wipers	slice our silence
ocean floor	the ribs and backbone	of the fishing boat
kitchen window	sunlight pools in	last night's dishes
dry floodplain	a billabong holds	the last light
first love	windmills turning	into dusk
hawk in flight	recycling the wind	into himself
coastal caf	she suckles in the shade of mum's	cowboy hat
spring again	birth-marks	on the snow gums
a maple leaf	touching other leaves	before the ground
he turns	his beach towel	to face mecca
temple gate	looking for the priest	in winter mist
prison cell	visiting briefly	the easter moon
breastfeeding	the slow drip of rain	on the nursery roof
misty rain	a footprint on moss	fades
rusted hinge	the butterfly's wings	close, open...
may sunset	dandelions surround	the bulging udder
shortening days	golden foliage holds	the sunlight
the coming storm	a cricket has hold	of the chevrolet
red dust road	a cattle truck reaches	the vanishing point
clickety-clack	over the old wooden bridge	loose teeth and small change
clear water	a magpie's song drops	into the pond
the cockatoo sidles	towards me    small	in its dark eye
village debris	photos of the dead	float face up
by the creek	wrens echo the rippling	over stones
bitter cold	out-of-work husband	burning things
autumn rain	his name on the stone	darkens
bush cemetery	a child's grave	beneath an evergreen
late walk	beach and moon	the same curve
back from the war	the tap he couldn't fix	still dripping
red dawn	the fisherman's hands	gutting the mullet
dust storm	the red kelpie	blending in
wide water...	flight of an osprey	shapes the evening light
new year	explosions of fireworks	how constant the stars
retirement	an op-shop dummy	wears my suit
wind in the park	picnic plates frisbee	to other blankets
storm crosses	the traveller's shadow	he marches on
day after christmas	all the fathers returning	their children
retirement home	my long-johns on the line	still jogging
distant thunder	each stroke of the oar	stirs the clouds
old dog	keeping active	in her dreams
train nap	leaning back	into a conversation
fishing before dawn	morning star caught on the line	escapes with the tide
sea spray	drifting up the cliff face	flannel flowers
landfill	yesterday's headlines	still sinking in
scenic drive	i'm interrrupted	by her snores
crickets	extinguishing	day
spring petals	leaving it to the breeze	to brush them off the page
twilight	his breath warm	as he fastens my zip
shrine under the she-oak	buddha's fingers	touch the leaf litter
all night snow	the cat burrows deep	into my dream
river sunset	cranes wade through	crimson clouds
the river	how soon our thoughts turn again	to war
spring dawn	pine needles dripping	the night away
summer storm	shorter than	my cup of tea
summer afternoon	our shadows touch	before we do
among the headstones	one small pine	bends with the wind
out of the river the silence	of posts
doorbell	my thoughts	dress up
rain fills the dam	overflowing the night	with bull frogs' chorus
winter nap	startled awake	by the sudden dark
lorikeet lands	on camellia branch	petal shower
boat harbour	an old fisherman moored	by his handline
bushfire season	from dry leaves	the crackle of lizards
half caught in a dish of stars	rising moon
rowing me upstream	the steady breathing	of wood through water
winter rain	the blind boy	on the train	calls out the stations
day moon	the odour of walnuts	on our breath
overtaken, i ride	in the slip-stream	of your after-shave
child chasing	nothings with butterfly net	catching them
sleeping cat	belly full of purrs
noon light	the stillness of fish	in a heron's eye
convalescing...	the window takes 2 hours	to cross the carpet
closing down sale	caught by moonlight	the naked dummy
forklift	a bin of oranges	catching sunlight
so lonely	the river snag	without its cormorant
chiaroscuro	the white cat in deep shade	curls deeper in
early spring	a feather blows in	the cat door
falls overlook	thinking of having	my ashes scattered
in its shade	remembering the summer	i planted this willow
squabbling	a flock of lorikeets	louder than the neighbours
filtered sunlight	a butterfly's nap	on my arm
blackbird song	my sumi-e bamboo grows	beyond the sheet
mid-puddle	the toddler discovers	his superpower
parkinson's	with care he pencils in	his wife's eyebrows
it could be nothing	it could be something	winter darkness
father's day...	the weight of his hammer	that never fit my hand
ground fog	i am certain	of nothing
sinking moon	the weight of all	my unspoken words
holly trees surround	the garden	when will i learn to forgive?
dog days	through every window	the night train's whistle
sketching the sapling	i will never see grown	the quiet woods
perseids...	oh, the weight	of all those wishes
equinox	this one tiny worm	coiling uncoiling
deep crack in the acorn morning thunder
frost-tipped blossoms	not how i thought	it would happen
white lilacs	beyond our grasp	the milky way
snow clouds	each of us seeing	someone else
afternoon fog	the dampened cries	of wild geese
unrelenting summer	a termite	tears at its wings
fallout	she said it felt lighter	than snow
bristlecone pine	finding out	about myself
at least the crow	says what he means	april rain
acacia seeds rattle	in the autumn breeze...	missing you
snowed in every inch of her
blue on blue	a dragonfly taps	the skylight
the shell's story inside the inside
clouded moon	the ocean moves	closer
in an open jar	of sage, the desert	after the rain
traveling the creek	that bears her name	my mother's ashes
ripening plums	outside our bedroom window	...and the far dawn
heat wave	mouse circling the bottom	of the rain barrel
full moon	white-barked alder leans its light	back into sky
late summer eve	white coals on the lid	of a dutch oven
fall garden	the cat's ashes	no more than a handful
christmas morning	the snowprints of the stray	who curled by our door
white towels	by a wash basin	jane doe
three-quarter moon	mandolin music	just sad enough
milky sky	an eagle's rib bones	cradle the snow
expectant father	the tender way he holds	his comic book
first robin	the bowed sapling	flings its ice
summer heat	brooding in the dark	bantam hen
funeral march	the play of raindrops	on mahogany
closed louvers	a mourning dove	filters through
shrinking snowman	the red wool scarf	loosens its grip
crows on phone lines	a new arrangement	every few caws
sun dogs	on the winter horizon...	another body count
midwinter sermon	hardened drops of varnish	on the pews
hurricane	the taste of rain	from a barrel
winter light	chickens scratch at	their pale shadows
sea turtle	one thousand miles	his eye on a star
sculpture garden	a spider web deep	in cleavage
mountain pass	headlights on the edge	of a thunderhead
the faint pulse	of out-of-tune strings	winter light
baton raised...	a moth spirals	into the silence
jar of tadpoles	two shadows swim off	the candle-lit table
summer wind...	sailing the length	of the moon's reflection
precipice	the ascending cry	of an osprey
a banner flaps	in the autumn wind...	everything must go!
winter fog	everything familiar	unfamiliar
the sound of breaking waves	on a moonless night	distant friend
slow bend in the river	he comes around	to my point of view
hot night the length of a siren
dislodged	from its tangle of branches	beaver moon
among her things	my birthday newspaper	deepening snow
salmon thrashing	near the base of their ladder	we stop holding hands
bus stop	a pregnant woman picks	at flaking paint
family reunion	the wind takes a paper plate	into the lilacs
deer emerge	from the snowy woods	tea grown cold
traveling, too,	on a seat by the window	green melons
sugar moon rising	the wail of a midnight train	takes me home again
church memorial	celebrating her long life	creak of grasshopper
open cellar door	faint voice of a grasshopper	lulls baby to sleep
tales of our wildness	sets off cycles of laughter	clinking iced coffee
first sun barely up	the clatter of black-eyed peas	poured into a pot
new yar's reunion	once again grandfather gets	the coin in the cake
from the bare hilltop,	watching migrating raptors.	how far will they go?
sharing a silence	under tonight's sugar moon	the old dog and i
from a stiff clothesline	black long underwear flapping;	amish washing day
decades in l.a.	the baggage i still carry...	longjohns in my drawer
drinking iced coffee	i check the yes box to be	an organ donor
first sun of the year	a street workman disappears	into a manhole
through the bay window	a sugar moon pours itself	into jelly jars
frost-covered window	i add a rubber ducky	to the buddle bath
under the table	my knee touches my grandson's	the lengthening days
restless autumn sea	remnants of fukushima	arrive at our shores
your share of our life	fits neatly into boxes...	sky swallows return
making bean soup for	my old mother and humming	the songs she once hummed
reaching summer's end	a newspaper boat sets sail	for the horizon
rising harvest moon	a tractor's headlights heading	down a distant road
spattered and faded	his index card recipe	of navy bean soup
year of the dragon	my future mother-in-law	slips me her room key
an eighth grader's voice	changes during announcements	these lengthening days
with lengthening days	the sound of the dog's toenails	on a hardwood floor
the familiar cough	of the neighbor's old chevy	winter solitude
munitions worker	staggaring home from the pub	dark billowing cloud
persimmon fabric	folded in tissue paper	mother's kimono
finding her letter	in his old leather jacket	winter solitude
early morning light	gently your hand sweeps away	new year's confetti
the billowing cloud	metastasized with lightning	chemotherapy
on a dark highway	merging with darkening sky	winter solitude
jet contrail blending	into a billowing cloud	vet's burial day
winter solitude	no spark of recognition	in mother's brown eyes
sweeping up new year's	confettianother day	of rigamarole
snuffing out candles	just for the joy of their scent	winter solitude
we wade our way in	japantown festivities	persimmon pudding
fallen persimmon	but i recall the green one	my father gave me
new year's confetti	the accordion player	leans back on his heels
galloping a horse	right up a hill right into	the billowing clouds
an old pond!	a frog jumps in-	the sound of water.
a beautiful weed	sprouting in the summer sun...	happy, but alone
great japan!	where a bird sings	the lotus sutra
it's 4:10 am	i can't think straight, and much less...	count syllables
bust out pda...	what do i see on the screen?	broken lcd!
salty blue water	waving to the sandy shore	a roller coaster
a single grain of dust	at the mercy of the wind...	the life of a man
the old hand	swats a fly	already gone
here so late at work.	must not abandon kevin.	tired unity!
short summer night.	a dewdrop	on the back of a hairy caterpillar.
do caterpillars	think butterflies beautiful?	find your own cocoon
flowers bloom and die	wind brings butterflies or snow	a stone won't notice
gamer's eyes light up	but, alas, he soon finds out	there's another stage
house of grass widow's-	only in the neighborhood	roosters cry the dawn
worker bees can leave	even drones can fly away	the queen is their slave
evening snow falling,	a pair of mandarin ducks	on an ancient lake.
corner spider	rest easy, my soot-broom	is idle
in a new bucket	the same water...	looks so fresh!
absorbing the warmth,	reflecting the summer's light:	chenresig statue.
night comes with a chill	the party's over for now	until the next time...
moon behind the clouds -	the mother nursing  the twins	in deepest darkness
lotus leaves in the pond	ride on water.	rain in june.
warm, calm summer night	can't see the whole monitor...	kitty's limp, bent paw
roses of pure white	scenting the warm summer air	a sweet confection
tunnel through the fog-	the dying man's wide open eyes	seek for a icon
without just one nest	a bird can call the world home	life is your career
even wild roses	of a downtrodden land	reach enlightenment
looking, looking	at the mandarin orange...	year's first calligraphy
the distant mountain	reflected in his eyes...	dragonfly
a hot night's pilgrimage	with song...	zenko temple
gathering storm clouds	blanket the grey horizon	now walk into them
blue car on the street	didn't see the leaveless twig
serving me all day,	constantly rubbing my hand:	my spiral notebook.
suddenly, a light	at the end of the tunnel:	the moon in the sky
a hole in the clouds-	the sun has  send its light to	a cherry in blossom
tiny crystals melt	shimmering in the spring sun	natures transition
so why the plunder,	this is our only home,	worship the planet.
perhaps time is spent	better when working on	your own web site. ha!
mountain song	wind blows	natures music
my cat queen	motion poet	velvet pads
a mother nursing-	here's the white line of life twining	this hearthes
hanging on the rope-	lost among the old clothes	the moon's kimono
sweat pours down my face.	fifty hours and counting.	still more work to do...
hunted by the cat	with unparalleled vigor:	tiny little ant!
ideas may run out	then i will have naught to write	string together words
eighteen holes ahead	the ground is covered in leaves	great things are to come
not the shadow of a ghost...	only a pedigree dog	look for its master
skiing down the mountain	'cause of the fog, i can't see	where the path is smooth
thick rain drops splash down...	students scurry with their stuff	as august closes.
two years of mourning	vanish	a playful kitten
hazy, tired head	remnants of the night before	summer-autumn air
together we sleep	surrounded by things that don't	the campfire keeps watch
sparrow parents too	bring their children...	zenko temple
if people ask	and dewdrops answer	is the lesson learned?
breathing virgo air,	laying sprawled across the bed...	night shuts his mind off.
long winter days and nights	sleepless nights ahead	newborn baby cries.
life is so boring	but one will have to live it		either me or you
snow rain snow rain snow	i forgot the construction	buffalo weather
haiku can be fun	but it can take much work	like coding java
as autumn descends	one man is unaffected:	he's called "mega man"
the old, dying tree	doesn't care what the leaves think...	they will come again
like a waterfall,	the yang breath just pushes on...	even in autumn!
men's mouths gossip	just like a woman's	just shorter words
walk like a goddess...	but remember that my foot	cannot see you there.
basho's death-day
apple blossom pink	opening unto the world	peaceful is the view
delicate sweet flower	growing with the wind	soft summer breeze
do you still feel	birds and squirrels on your limbs...	sleeping, leaveless tree?
flowers in autumn:	like a mother too well dressed	for the occasion
awakened again,	the first work day of the year...	sleeping white kitty
winter morning traffic	on a car window	a girl draws a garden
this twilight moment...	hope in the covering of	a persimmon sky
reading suzuki,	my mind grows hot, like the air...	all my haikus suck!
hot, he's on his back...	how do i look upside down,	little black kitty?
morning energy,	only early do i strive.	day fades. life drains. sleep.
summer is over	but fall has not yet begun...	custodial sounds
young soldiers	a field of ripened wheat	bends in autumn wind
preschool	the lower panes	rubbed frost free
christmas lists	slightly to starboard	tree stand compromise
sweaty hand on mouse	for a moment i forget	i'm not a cleric
when will it become	a cricket's nest?	my white hair
warrior kneeling	just ten paces from the king	candles see the truth
half-inch piece of chalk	sitting unused in the tray	never used again
a snake curls around	the sound of its hiss	high mountain meadow
a new love story:	laid on the widow's shoulders	wispy bride's veil
alone here, i type	rapbot lives glorious now	spits mad crazy shit
dancing in the trees...	two primates argue over	green destiny sword.
spring departs.	birds cry	fishes' eyes are filled with tears
ouch! pinch from below.	toothy black furry creature	thinks not of my size.
laughing bouncy ball	shines bright across the playground	rain clouds disappear
unaware the tree	is destined for the axe...	nest building
i am just a man,	a simple and humble man,	a man of colors.
a student arrives,	early like the rest of us...	air conditioned room
ruler of the mac	i think not foolish old man	for i have admin privs
an acorn	striking the roof	squirrel chatter
ghost of the flame	wreathing around	the now cool wick
they pronounced me dead	even though i dance and sing.	i am poetry.
deep in my own thoughts,	girl blocks my way off the bus.	bump! out of my way.
sometimes when you're mad,	people start to seem smaller.	the eyes of the hulk.
window drips grey light	frowning children walk to school	early autumn day
light rain starts to fall	this half-alive summer day...	left ear all plugged up!
some want it snow white	others want it to be pitch black	why not make it gray?
opening my hand	i return the moth	to  the  darkness
a glowworm affixed	on the clown's red shovel-nose:	the moon's glowing light
majestic dragons	spread their incandescent wings,	and soar through dark skies
buffalo, denver	and yet we're the same people	life goes on i guess
our ceremony
cascading water	free fall in many degrees	a fragrant shower
empty pizza box	sitting next to garbage bins...	the vacation's end
the rain, then the wind	and where the leaves had been
look at the sea shore,	a refuge for the seashells,	i love the colors.
i can not believe	that the damn gnome does not know	what is a sobe?
items from our work	are the subject of many	poems on this here site.
through the mall i run,	firing off my machine gun,	people think im nuts!
snowstorm in the field-	from the fear, over the long night,	my hair become white
only a lonely song	in the emptiness of night-	the crunch of the snow
to feel nothingness...	in evening when the nightingale	became dumb
the snow is falling	blanketing the ground in white	will it ever stop
all your base are be-	long to us. you are on the	way to destruction.
a stray cat	excreting	in the winter garden.
a autumn wind	more white	than the rocks in the rocky mountain.
the beautiful girl,	danced with elegance and grace,	it is living art.
amazing nature!	summer through a pane glass door...	cats at stairs' bottom.
mighty hurricane	doesn't care it's a school day	violent summer
can not i vote more?	i click once, and it goes up	yet, more do nothing
empty the water	but do not set off alarm	or the police come.
bottle of purell	brings memories of summer...	chilly air tonight.
at the four way stop	our insistent politeness	annoys each other
underground river	blind albino ducks	bob on black ripples
after the northe wind	broken in the same drama	lie people and tree
